archivo,titulo,autor_fuente,fecha,categoria,palabras_aprox
003_El_auge_del_tecnofeudalismo__ANRed.txt,El auge del tecnofeudalismo | ANRed,No disponible,2024-07-14 00:00:00,Opinión,2585
011_Polisis_una_IA_que_se_lee_las_políticas_de_privaci.txt,Polisis: una IA que se lee las políticas de privacidad por ti.,Julio San José,2019-10-30T18:00:50+00:00,Cyber,283
007_Espionaje_ilegal_del_Ministerio_de_Seguridad_porte.txt,"Espionaje ilegal del Ministerio de Seguridad porteño: buscó los datos biométricos de 7,5 millones de personas | ANRed",No disponible,2022-04-13 00:00:00,Derechos Humanos,1240
023_Apple_multada_Francia_sanciona_con_162_millones_po.txt,Apple multada: Francia sanciona con $162 millones por opacas normas de privacidad | El gigante de Silicon Valley enfrenta un conflicto legal en Europa tras una investigación exhaustiva,Página12,1743693874,Agencia Informativa,210
004_Qué_hay_detrás_de_las_colas_para_la_venta_de_iris_.txt,¿Qué hay detrás de las colas para la venta de iris? | ANRed,No disponible,2024-01-11 00:00:00,Ciencia y Tecnología,2507
026_La_era_del_capitalismo_digital_magnates_tecnológic.txt,"La era del capitalismo digital: magnates tecnológicos y outsiders políticos | Se avanza hacia una forma de ""democracia digital hueca"".",Página12,1734729646,.General,2131
013_Chat_Control_el_plan_europeo_para_escanear_tus_men.txt,Chat Control: el plan europeo para escanear tus mensajes,derechodelared,2025-09-14T18:15:40+00:00,Noticia,394
024_Cómo_las_grandes_empresas_tech_lograron_meterse_en.txt,Cómo las grandes empresas tech lograron meterse en nuestra cama | Entrevista a Tomás Balmaceda,https://www.pagina12.com.ar/autores/658-dolores-curia,1743886355,Sociedad,684
015_Microsoft_mantendrá_en_la_UE_los_datos_personales_.txt,Microsoft mantendrá en la UE los datos personales de sus clientes europeos,derechodelared,2024-01-15T18:29:59+00:00,Noticia,97
005_Sam_Altman_creador_de_ChatGPT_y_GPT-4_mi_peor_temo.txt,"Sam Altman, creador de ChatGPT y GPT-4: «mi peor temor es que causemos un daño significativo al mundo» | ANRed",No disponible,2023-05-17 00:00:00,Ciencia y Tecnología,598
022_Catamarca_y_Telecentro_firman_un_acuerdo_histórico.txt,Catamarca y Telecentro firman un acuerdo histórico para llevar internet satelital a 300 escuelas rurales,Página12,1746530450,Negrx,61
008_Pensamiento_crítico_De_verdad_sabemos_qué_hacemos_.txt,Pensamiento crítico. ¿De verdad sabemos qué hacemos cuando aceptamos «cookies» u otros consentimientos? | ANRed,No disponible,2021-02-21 00:00:00,Ciencia y Tecnología,2048
002_Manzana_podrida_decenas_de_exespías_israelíes_fuer.txt,"Manzana podrida: decenas de exespías israelíes fueron contratados por Apple, el gigante de Silicon Valley | ANRed",No disponible,2025-07-31 00:00:00,Ciencia y Tecnología,2222
021_Meta_enfrenta_sanciones_millonarias_en_Nigeria_por.txt,Meta enfrenta sanciones millonarias en Nigeria por violar leyes locales | Nigeria vs Meta: la soberanía digital en disputa,Página12,1746530450,Negrx,283
020_Bullrich_desatada_autorizó_a_la_Policía_Federal_a_.txt,Bullrich desatada: autorizó a la Policía Federal a realizar ciberpatrullaje y requisas sin orden judicial | La letra chica del polémico decreto,https://www.pagina12.com.ar/autores/328216-agustin-gulman,1750171318,El país,1187
016_Pandemia_de_control_digital__ANRed.txt,Pandemia de control digital | ANRed,No disponible,2020-05-09 00:00:00,Ciencia y Tecnología,728
018_La_hora_de_los_nuevos_derechos_y_algo_más__Múltipl.txt,La hora de los nuevos derechos y algo más | Múltiples cambios listos para introducir a la Constitución de Santa Fe,Página12,1755809986,Santa Fe,796
019_Marcas_enfrentan_el_desafío_de_reforzar_la_conexió.txt,Marcas enfrentan el desafío de reforzar la conexión humana en la era de la inteligencia artificial,Página12,1755809986,Santa Fe,1122
014_La_NSA_compra_datos_de_navegación_de_los_usuarios_.txt,La NSA compra datos de navegación de los usuarios americanos,derechodelared,2024-01-29T19:07:17+00:00,Noticia,150
025_Globalización_recargada_nuevos_nacionalismos_y_con.txt,Globalización recargada: nuevos nacionalismos y control digital | La sociedad del espectáculo,Página12,1743105534,.General,1955
006_Natalia_Zuazo_el_problema_es_cuando_el_avance_de_l.txt,Natalia Zuazo: «el problema es cuando el avance de la tecnología lo que hace es explotarnos o quitarnos derechos» | ANRed,No disponible,2023-03-14 00:00:00,Ciencia y Tecnología,2111
017_Una_pelea_por_los_datos_de_los_usuarios__El_Reino_.txt,Una pelea por los datos de los usuarios | El Reino Unido quiere acceder a los datos de millones de usuarios de Apple,Página12,1756513870,Sociedad,523
012_La_AEPD_presenta_nuevos_recursos_para_fomentar_la_.txt,La AEPD presenta nuevos recursos para fomentar la privacidad y la protección de datos en los menores.,derechodelared,2017-10-23T18:34:41+00:00,Menores,489
001_Tiktok_se_enfrenta_a_una_posible_multa_de_27_millo.txt,Tiktok se enfrenta a una posible multa de 27 millones de libras en Reino Unido por vulnerar la privacidad de los menores.,Julio San José,2022-09-26T18:15:45+00:00,Derecho,174
010_WhatsApp_no_cerrará_cuentas_pero_limitará_funcione.txt,"WhatsApp no cerrará cuentas, pero limitará funciones progresivamente si no aceptas la nueva política de privacidad.",Julio San José,2021-05-11T19:04:55+00:00,App,99
009_CABA_la_Legislatura_porteña_debate_un_polémico_pro.txt,CABA: la Legislatura porteña debate un polémico proyecto sobre tecnologías de reconocimiento facial | ANRed,No disponible,2020-09-18 00:00:00,Ciencia y Tecnología,1018
